ContactName,EmailAddress,POAddressLine1,POAddressLine2,POAddressLine3,POAddressLine4,POCity,PORegion,POPostalCode,POCountry,InvoiceNumber,Invoice Date,Due Date,Total,InventoryItemCode,Description,Quantity,UnitAmount,LineAmount,AccountCode,TaxType,TaxAmount,TrackingName1,TrackingOption1,TrackingName2,TrackingOption2,Currency,Status,LineAmountType
Bunnings Limited,,,,,,,,,,00000179,04/10/2023,30/11/2023,20.5,,.,1,20.5,20.5,210,BAS Excluded,0.0,,,,,,Draft,
Inex Metals Ltd,,,,,,,,,,00000371,21/05/2024,20/06/2024,20.95,,.,1,20.95,20.95,210,BAS Excluded,0.0,,,,,,Draft,
PTA Ltd,,,,,,,,,,00001386,30/01/2026,20/02/2026,20.99,,.,1,20.99,20.99,210,BAS Excluded,0.0,,,,,,Draft,
PTA Ltd,,,,,,,,,,00001024,18/06/2025,20/07/2025,21.03,,.,1,21.03,21.03,210,BAS Excluded,0.0,,,,,,Draft,
Anzor,,,,,,,,,,00000532,27/09/2024,20/10/2024,21.21,,.,1,21.21,21.21,210,BAS Excluded,0.0,,,,,,Draft,
TG Branding,,,,,,,,,,00000769,12/02/2025,20/03/2025,21.39,,.,1,21.39,21.39,459,BAS Excluded,0.0,,,,,,Draft,
TG Branding,,,,,,,,,,00001227,07/09/2025,20/10/2025,21.39,,.,1,21.39,21.39,459,BAS Excluded,0.0,,,,,,Draft,
Bunnings Limited,,,,,,,,,,00001220,07/09/2025,20/10/2025,21.85,,.,1,21.85,21.85,210,BAS Excluded,0.0,,,,,,Draft,
CI Safety & Apparel,,,,,,,,,,00001441,19/02/2026,20/03/2026,36.17,,.,1,36.17,36.17,459,BAS Excluded,0.0,,,,,,Draft,
Office Products Depot,,,,,,,,,,00000080,11/07/2023,20/08/2023,22.25,,.,1,22.25,22.25,431,BAS Excluded,0.0,,,,,,Draft,
Mitre 10 MEGA Hamilton,,,,,,,,,,00000315,21/03/2024,20/04/2024,22.46,,.,1,22.46,22.46,210,BAS Excluded,0.0,,,,,,Draft,
Mitre 10 MEGA Hamilton,,,,,,,,,,00000693,06/12/2024,20/01/2025,22.51,,.,1,22.51,22.51,335,BAS Excluded,0.0,,,,,,Draft,
BNT,,,,,,,,,,00000554,02/10/2024,20/11/2024,22.89,,.,1,22.89,22.89,410,BAS Excluded,0.0,,,,,,Draft,
Vulcan Stainless,,,,,,,,,,00001509,18/02/2026,20/03/2026,1505.58,,.,1,1505.58,1505.58,211,BAS Excluded,0.0,,,,,,Draft,
BOC,,,,,,,,,,00000162,28/10/2023,30/11/2023,23.08,,.,1,23.08,23.08,325,BAS Excluded,0.0,,,,,,Draft,
Mitre 10 MEGA Hamilton,,,,,,,,,,00001419,29/01/2026,20/02/2026,23.57,,.,1,23.57,23.57,210,BAS Excluded,0.0,,,,,,Draft,
Bunnings Limited,,,,,,,,,,00000483,19/08/2024,20/09/2024,23.96,,.,1,23.96,23.96,210,BAS Excluded,0.0,,,,,,Draft,
PTA Ltd,,,,,,,,,,00000902,19/12/2024,20/01/2025,24.38,,.,1,24.38,24.38,450,BAS Excluded,0.0,,,,,,Draft,
Mitre 10 MEGA Hamilton,,,,,,,,,,00000641,07/11/2024,20/12/2024,24.85,,.,1,24.85,24.85,211,BAS Excluded,0.0,,,,,,Draft,
Bunnings Limited,,,,,,,,,,00001350,01/12/2025,20/01/2026,26.02,,.,1,26.02,26.02,210,BAS Excluded,0.0,,,,,,Draft,
Warehouse Stationery,,,,,,,,,,00001183,05/08/2025,20/09/2025,26.5,,.,1,26.5,26.5,431,BAS Excluded,0.0,,,,,,Draft,
Bunnings Limited,,,,,,,,,,00001409,04/01/2026,20/02/2026,26.5,,.,1,26.5,26.5,210,BAS Excluded,0.0,,,,,,Draft,
PTA Ltd,,,,,,,,,,00000307,07/03/2024,20/04/2024,26.76,,.,1,26.76,26.76,210,BAS Excluded,0.0,,,,,,Draft,
Warehouse Stationery,,,,,,,,,,00000196,20/11/2023,30/12/2023,26.99,,.,1,26.99,26.99,431,BAS Excluded,0.0,,,,,,Draft,
Mitre 10 MEGA Hamilton,,,,,,,,,,00000676,05/12/2024,20/01/2025,27.86,,.,1,27.86,27.86,210,BAS Excluded,0.0,,,,,,Draft,
Warehouse Stationery,,,,,,,,,,00000358,29/04/2024,20/05/2024,27.93,,.,1,27.93,27.93,431,BAS Excluded,0.0,,,,,,Draft,
Steel &Tube,,,,,,,,,,00000584,15/10/2024,20/11/2024,28.0,,.,1,28.0,28.0,211,BAS Excluded,0.0,,,,,,Draft,
Warehouse Stationery,,,,,,,,,,00001008,22/06/2025,20/07/2025,28.0,,.,1,28.0,28.0,431,BAS Excluded,0.0,,,,,,Draft,
Steel &Tube,,,,,,,,,,00001349,17/12/2025,20/01/2026,28.08,,.,1,28.08,28.08,211,BAS Excluded,0.0,,,,,,Draft,
Bunnings Limited,,,,,,,,,,00001411,04/01/2026,20/02/2026,28.64,,.,1,28.64,28.64,210,BAS Excluded,0.0,,,,,,Draft,
Mitre 10 MEGA Hamilton,,,,,,,,,,00000507,28/08/2024,20/09/2024,28.91,,.,1,28.91,28.91,210,BAS Excluded,0.0,,,,,,Draft,
PTA Ltd,,,,,,,,,,00001210,23/09/2025,20/10/2025,29.01,,.,1,29.01,29.01,210,BAS Excluded,0.0,,,,,,Draft,
Bunnings Limited,,,,,,,,,,00000954,18/05/2025,20/06/2025,29.57,,.,1,29.57,29.57,211,BAS Excluded,0.0,,,,,,Draft,
Bunnings Limited,,,,,,,,,,00000623,08/11/2024,20/12/2024,30.0,,.,1,30.0,30.0,210,BAS Excluded,0.0,,,,,,Draft,
Mitre 10 MEGA Hamilton,,,,,,,,,,00000102,31/08/2023,20/09/2023,30.61,,.,1,30.61,30.61,210,BAS Excluded,0.0,,,,,,Draft,
Apparelmaster Waikato,,,,,,,,,,00000475,31/07/2024,20/08/2024,30.85,,.,1,30.85,30.85,308,BAS Excluded,0.0,,,,,,Draft,
PTA Ltd,,,,,,,,,,00000342,02/04/2024,20/05/2024,31.05,,.,1,31.05,31.05,210,BAS Excluded,0.0,,,,,,Draft,
PTA Ltd,,,,,,,,,,00001050,22/07/2025,20/08/2025,31.91,,.,1,31.91,31.91,210,BAS Excluded,0.0,,,,,,Draft,
Steel &Tube,,,,,,,,,,00000437,29/07/2024,20/08/2024,32.09,,.,1,32.09,32.09,211,BAS Excluded,0.0,,,,,,Draft,
Ideal Electrical,,,,,,,,,,00000933,30/04/2025,20/05/2025,33.12,,.,1,33.12,33.12,210,BAS Excluded,0.0,,,,,,Draft,
Bunnings Limited,,,,,,,,,,00000287,09/02/2024,20/03/2024,34.33,,.,1,34.33,34.33,210,BAS Excluded,0.0,,,,,,Draft,
BNT,,,,,,,,,,00000555,02/10/2024,20/11/2024,34.33,,.,1,34.33,34.33,410,BAS Excluded,0.0,,,,,,Draft,
PTA Ltd,,,,,,,,,,00001359,22/12/2025,20/01/2026,34.39,,.,1,34.39,34.39,210,BAS Excluded,0.0,,,,,,Draft,
C&I Commercial & Industrial Insulation,,,,,,,,,,00000151,25/09/2023,30/10/2023,34.45,,.,1,34.45,34.45,211,BAS Excluded,0.0,,,,,,Draft,
Mitre 10 MEGA Hamilton,,,,,,,,,,00000364,13/05/2024,20/06/2024,35.46,,.,1,35.46,35.46,210,BAS Excluded,0.0,,,,,,Draft,
Warehouse Stationery,,,,,,,,,,00001285,20/11/2025,20/12/2025,35.99,,.,1,35.99,35.99,431,BAS Excluded,0.0,,,,,,Draft,
Mitre 10 MEGA Hamilton,,,,,,,,,,00000314,04/03/2024,30/04/2024,36.27,,.,1,36.27,36.27,210,BAS Excluded,0.0,,,,,,Draft,
BOC,,,,,,,,,,00000187,27/11/2023,30/12/2023,36.46,,Argon gas,1,36.46,36.46,325,BAS Excluded,0.0,,,,,,Draft,
Vulcan Stainless,,,,,,,,,,00000735,23/01/2025,20/02/2025,37.31,,.,1,37.31,37.31,211,BAS Excluded,0.0,,,,,,Draft,
BOC,,,,,,,,,,00000231,28/12/2023,20/01/2024,37.66,,.,1,37.66,37.66,325,BAS Excluded,0.0,,,,,,Draft,
